listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
70820,0.06027397260273973,22,343,365,4.0,30.0,5
117122,0.958904109589041,350,15,365,1.0,28.0,8
176306,0.36164383561643837,132,233,365,5.0,32.0,3
307634,0.6575342465753424,240,125,365,4.0,1125.0,3
390781,0.0,0,365,365,2.0,100.0,1
391093,0.4520547945205479,165,200,365,1.0,180.0,7
407485,0.9232876712328767,337,28,365,2.0,1125.0,8
422956,0.8547945205479452,312,53,365,2.0,28.0,28
758894,0.9095890410958904,332,33,365,3.0,1125.0,21
868888,0.0,0,365,365,7.0,1125.0,1
942226,0.8794520547945206,321,44,365,2.0,7.0,28
975170,0.0,0,365,365,3.0,90.0,1
1033484,0.07671232876712329,28,337,365,2.0,14.0,9
1166104,0.31232876712328766,114,251,365,7.0,180.0,13
1180148,0.9397260273972603,343,22,365,2.0,90.0,2
1182074,0.7178082191780822,262,103,365,1.0,1125.0,9
1329265,0.36164383561643837,132,233,365,3.7150684931506848,150.0,3
1337681,0.9945205479452055,363,2,365,7.0,60.0,2
1457693,0.0,0,365,365,21.0,21.0,1
1536968,0.0,0,365,365,2.0,30.0,1
1906645,0.0,0,365,365,14.0,1125.0,1
2028961,0.0,0,365,365,3.0,1125.0,1
2164660,0.3013698630136986,110,255,365,1.0,30.0,11
2235568,0.08767123287671233,32,333,365,2.0,25.0,11
2293494,0.736986301369863,269,96,365,3.0,365.0,3
2403979,0.0,0,365,365,2.0,365.0,1
2446524,0.6602739726027397,241,124,365,1.0,1125.0,8
2523293,0.0,0,365,365,1.0,1125.0,1
2548956,0.03561643835616438,13,352,365,1.0,2.0,5
2793019,0.0,0,365,365,2.0,45.0,1
3365141,0.06575342465753424,24,341,365,1.0,1125.0,2
3453720,0.7342465753424657,268,97,365,90.0,360.0,2
3457246,0.0,0,365,365,90.0,350.0,1
3468287,0.6547945205479452,239,126,365,30.0,1125.0,8
3490531,0.07123287671232877,26,339,365,4.945205479452055,1125.0,5
3879902,0.1643835616438356,60,305,365,2.0,28.0,9
3896013,0.0,0,365,365,20.0,60.0,1
3906876,1.0,365,0,365,5.0,1125.0,1
3975847,0.5917808219178082,216,149,365,1.0,1125.0,11
4086139,0.6136986301369863,224,141,365,2.5643835616438357,1125.0,17
4130880,0.08493150684931507,31,334,365,1.9945205479452055,1125.0,19
4249808,0.0,0,365,365,4.0,31.0,1
4315598,0.9753424657534246,356,9,365,2.0,30.0,5
4438036,0.0,0,365,365,1.0,1125.0,1
4454288,0.0,0,365,365,2.0,1125.0,1
4521395,0.0,0,365,365,10.0,1125.0,1
4543852,0.0,0,365,365,1.4301369863013698,1125.0,1
4570407,0.03287671232876712,12,353,365,6.4301369863013695,29.0,5
5441092,0.1726027397260274,63,302,365,2.0,1125.0,7
5566863,0.9863013698630136,360,5,365,3.0,18.0,2
5752786,0.8027397260273973,293,72,365,1.0,1125.0,36
6102243,0.7698630136986301,281,84,365,28.0,1125.0,2
6374568,0.2465753424657534,90,275,365,2.0,2.0,2
6376019,0.5726027397260274,209,156,365,2.0,1125.0,2
6818070,0.6493150684931507,237,128,365,1.2876712328767124,1125.0,2
6874942,0.3506849315068493,128,237,365,2.0,1125.0,45
7159559,0.9534246575342465,348,17,365,1.0,1125.0,19
7591680,0.23835616438356164,87,278,365,7.0,90.0,5
7592135,0.2328767123287671,85,280,365,5.471232876712329,90.0,7
7738447,0.0,0,365,365,7.0,17.0,1
7738952,0.07123287671232877,26,339,365,1.0712328767123287,4.0,19
7746625,0.7342465753424657,268,97,365,5.0,14.0,3
7784124,0.663013698630137,242,123,365,7.0,1125.0,8
7824532,0.10684931506849316,39,326,365,1.0,1125.0,13
7883245,0.9917808219178083,362,3,365,3.0,14.0,4
7900542,0.20273972602739726,74,291,365,1.0,7.0,9
7909436,0.915068493150685,334,31,365,4.416438356164384,1125.0,12
8025707,0.3013698630136986,110,255,365,1.0,30.0,29
8097937,0.8465753424657534,309,56,365,2.0,30.0,10
8142384,1.0,365,0,365,2.0,5.0,1
8161251,0.9726027397260274,355,10,365,2.0,1125.0,4
8387021,0.863013698630137,315,50,365,30.34246575342466,1125.0,4
8459588,0.0,0,365,365,1.0,1.0,1
8471636,0.9972602739726028,364,1,365,2.0,5.0,2
8529713,0.25753424657534246,94,271,365,5.0,730.0,7
8578293,0.07123287671232877,26,339,365,4.0,21.0,4
8681198,0.0958904109589041,35,330,365,14.0,120.0,3
8776062,0.9945205479452055,363,2,365,5.0,1125.0,2
8853045,0.12602739726027398,46,319,365,1.0,1125.0,17
8967035,0.8767123287671232,320,45,365,1.0,30.0,16
8967044,0.0,0,365,365,3.0,14.0,1
9249090,0.0,0,365,365,2.0,7.0,1
9271329,0.0,0,365,365,3.0,1125.0,1
9389393,0.0,0,365,365,1.0,1125.0,1
9408981,0.9342465753424658,341,24,365,1.0,1125.0,30
9521652,0.9068493150684932,331,34,365,2.0,1125.0,14
9559959,0.0,0,365,365,1.0,1125.0,1
9598461,0.9397260273972603,343,22,365,3.0,1125.0,8
9751748,0.9863013698630136,360,5,365,1.0,1125.0,2
9899518,0.821917808219178,300,65,365,3.0,60.0,10
9905613,0.8657534246575342,316,49,365,1.0,2.0,10
10084839,0.8958904109589041,327,38,365,5.7095890410958905,700.0,3
10543590,0.24383561643835616,89,276,365,1.0,5.0,3
10576200,0.30684931506849317,112,253,365,4.0,500.0,9
11086498,0.7506849315068493,274,91,365,2.0,1125.0,10
11255331,0.5917808219178082,216,149,365,2.0,1125.0,12
11264516,0.0,0,365,365,3.0,1125.0,1
11311871,0.7205479452054795,263,102,365,4.0,1125.0,7
11394496,0.9315068493150684,340,25,365,4.983561643835617,365.0,2
11417033,0.8794520547945206,321,44,365,1.284931506849315,1125.0,12
11451676,0.0,0,365,365,4.0,1124.0,1
11515357,0.0,0,365,365,3.0,31.0,1
11529140,0.6876712328767123,251,114,365,1.9972602739726026,90.0,7
11620357,0.1589041095890411,58,307,365,4.7095890410958905,730.0,5
11655698,0.6520547945205479,238,127,365,4.0,365.0,4
11676391,0.5643835616438356,206,159,365,6.0,1125.0,5
11676688,0.7342465753424657,268,97,365,6.0,1125.0,3
11720290,0.6767123287671233,247,118,365,6.0,1125.0,3
11735084,0.0,0,365,365,5.0,10.0,1
11864632,0.8712328767123287,318,47,365,1.0,1125.0,26
11870221,0.3589041095890411,131,234,365,3.989041095890411,1125.0,11
11901776,0.0,0,365,365,2.0,1125.0,1
12100361,0.10684931506849316,39,326,365,6.0,75.0,7
12124943,0.6602739726027397,241,124,365,2.0,90.0,5
12187361,0.8986301369863013,328,37,365,1.0,365.0,30
12240334,0.4465753424657534,163,202,365,2.4273972602739726,1125.0,7
12350376,0.11232876712328767,41,324,365,1.9945205479452055,1125.0,5
12421850,0.0,0,365,365,3.3013698630136985,139.73150684931508,1
12422528,0.0,0,365,365,1.0,28.0,1
12768764,0.20821917808219179,76,289,365,5.0,365.0,11
12828793,0.043835616438356165,16,349,365,1.0,14.0,20
12874579,0.11506849315068493,42,323,365,8.09041095890411,33.0,9
12987193,0.7068493150684931,258,107,365,1.0,2.0,34
12999409,0.2219178082191781,81,284,365,5.0,1125.0,5
13091537,0.0,0,365,365,2.0,7.0,1
13119191,0.0,0,365,365,4.0,28.0,1
13133203,0.2465753424657534,90,275,365,7.0,730.0,2
13237892,0.0273972602739726,10,355,365,2.0,14.0,5
13360791,0.09315068493150686,34,331,365,3.7041095890410958,1125.0,13
13369879,0.13972602739726028,51,314,365,1.0,4.0,27
13562638,0.4465753424657534,163,202,365,3.2849315068493152,1125.0,3
13635144,0.589041095890411,215,150,365,3.0,1125.0,12
13792660,0.15342465753424658,56,309,365,7.0,60.0,5
13828637,0.9315068493150684,340,25,365,2.9452054794520546,1125.0,6
13844007,0.0,0,365,365,1.0,7.0,1
13970388,0.6684931506849315,244,121,365,5.0,14.0,5
13993634,0.9232876712328767,337,28,365,1.4383561643835616,1125.0,20
14086064,0.0,0,365,365,5.0,14.0,1
