id,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7746625,Period family friendly home,40719797,Victoria,"2015-08-06 00:00:00,000","Bristol, United Kingdom",,,"0,0","0,0",0,1,1,"['email', 'phone']",1,0,Redland,"51,47752329999999","-2,6063242",Entire home,Entire home/apt,10,"2,5",2.5 baths,"4,0","5,0","378,0",5,14,1,28,58,88,268,4,0,0,95,0,0,"0,0","2022-08-14 00:00:00,000","2023-12-27 00:00:00,000","5,0","4,75","4,75","5,0","4,75","5,0","4,5",0,1,1,0,0,"0,11"
9521652,"The Studio,  9 Old City Chambers",27954975,John,"2015-02-18 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,3,3,"['email', 'phone']",1,1,Central,"51,4544","-2,59404",Entire condo,Entire home/apt,2,"1,0",1 bath,"0,0","1,0","76,0",2,1125,1,14,30,60,331,474,44,1,67,63,255,"19380,0","2016-01-25 00:00:00,000","2025-09-07 00:00:00,000","4,84","4,91","4,81","4,9","4,96","4,97","4,77",1,3,3,0,0,"4,02"
14483722,Central Bristol Budget Studio Apartment,45366780,Jake,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,86",0,4,5,"['email', 'phone']",1,1,Ashley,"51,46631","-2,58105",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"0,0","1,0","57,0",3,1125,1,27,57,87,87,83,2,0,87,3,12,"684,0","2016-09-29 00:00:00,000","2025-08-25 00:00:00,000","4,34","4,47","4,63","4,73","4,72","4,12","4,28",0,4,4,0,0,"0,76"
15457289,budget Bristol central studio,45366780,Jake,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,86",0,4,5,"['email', 'phone']",1,1,Ashley,"51,46738","-2,58057",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"0,0","1,0","61,0",3,1125,1,26,56,86,86,53,1,0,86,2,6,"366,0","2016-10-21 00:00:00,000","2025-06-02 00:00:00,000","4,43","4,45","4,62","4,77","4,7","4,11","4,23",0,4,4,0,0,"0,49"
15724848,Self contained 1 bedroom garden flat *relisted*,5677342,Joanna,"2013-03-29 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Cotham,"51,46567153930664","-2,604676961898804",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","87,0",1,5,1,4,22,39,118,23,4,4,39,0,24,"2088,0","2016-11-24 00:00:00,000","2025-09-20 00:00:00,000","4,96","5,0","4,96","5,0","5,0","4,96","4,96",0,1,1,0,0,"0,21"
15856894,Budget self-contained studio room near City centre,45366780,Jake,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,86",0,4,5,"['email', 'phone']",1,1,Ashley,"51,46626","-2,57965",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"0,0","1,0","57,0",3,730,1,26,56,86,86,43,2,0,86,3,12,"684,0","2016-11-16 00:00:00,000","2025-08-01 00:00:00,000","4,44","4,51","4,51","4,62","4,69","3,98","4,2",0,4,4,0,0,"0,4"
17313318,contemporary budget city studio apartment,45366780,Jake,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,86",0,4,5,"['email', 'phone']",1,1,Ashley,"51,46795","-2,58102",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"0,0","1,0","56,0",3,1125,1,27,57,87,87,71,2,0,87,9,12,"672,0","2017-03-03 00:00:00,000","2025-08-10 00:00:00,000","4,39","4,51","4,56","4,79","4,63","3,94","4,25",0,4,4,0,0,"0,68"
20820629,Flat next southmead hospital and gloucester road,149336499,Kareem,"2017-09-06 00:00:00,000","Cairo Governorate, Egypt",,within a day,"0,5","1,0",0,1,1,"['email', 'phone']",1,1,Horfield,"51,49213","-2,58976",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","2,0","76,0",10,120,1,28,58,88,268,3,1,0,95,2,20,"1520,0","2024-05-29 00:00:00,000","2025-02-09 00:00:00,000","4,67","4,0","4,0","5,0","4,33","3,67","4,67",0,1,1,0,0,"0,19"
25103488,Lovely 2 bedroom flat close to city centre,79009580,Kate,"2016-06-21 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,95",1,3,3,"['email', 'phone']",1,1,Lawrence Hill,"51,45906","-2,565",Entire rental unit,Entire home/apt,3,"1,0",1 bath,"2,0","2,0","75,0",10,730,1,0,0,16,196,122,22,3,23,15,255,"19125,0","2018-06-09 00:00:00,000","2025-09-19 00:00:00,000","4,85","4,89","4,66","4,82","4,96","4,57","4,79",0,3,1,2,0,"1,37"
25290797,Heart of Old Town Two bedroom apartment,32862540,Patrycja,"2015-05-07 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",0,9,14,"['email', 'phone']",1,1,Central,"51,45525","-2,59339",Entire rental unit,Entire home/apt,6,"1,0",1 bath,"2,0","4,0","124,0",2,1125,1,3,20,36,304,185,3,0,39,20,18,"2232,0","2018-06-08 00:00:00,000","2025-07-13 00:00:00,000","4,76","4,79","4,92","4,85","4,85","4,94","4,64",1,6,6,0,0,"2,08"
