listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
157612,0.16712328767123288,61,304,365,2.0,28.0,15
283495,1.0,365,0,365,100.0,1125.0,1
310742,0.4876712328767123,178,187,365,180.0,365.0,3
332580,0.0027397260273972603,1,364,365,2.0,300.0,2
360142,0.9780821917808219,357,8,365,3.0,730.0,2
391704,0.9972602739726028,364,1,365,1.0,30.0,3
412687,0.021917808219178082,8,357,365,2.0,30.0,3
503513,0.09863013698630137,36,329,365,1.0876712328767124,1020.8082191780821,9
556920,0.10684931506849316,39,326,365,1.9972602739726026,120.0,15
568034,0.6,219,146,365,2.0,14.0,27
681857,0.4904109589041096,179,186,365,1.0,1125.0,4
735851,0.24383561643835616,89,276,365,2.0,1125.0,3
758206,0.9945205479452055,363,2,365,1.0,30.0,2
1162564,0.9397260273972603,343,22,365,2.0,1125.0,2
1199469,0.8684931506849315,317,48,365,2.0164383561643837,35.0,20
1225615,0.9808219178082191,358,7,365,1.2876712328767124,1125.0,2
1241309,0.2191780821917808,80,285,365,5.0,1125.0,5
1343251,1.0,365,0,365,1.0,1125.0,1
1362964,0.9972602739726028,364,1,365,1.0,30.0,3
1464323,0.9972602739726028,364,1,365,3.0,730.0,2
1545417,0.12876712328767123,47,318,365,3.0,18.0,7
1818864,1.0,365,0,365,1.0,1125.0,1
1864263,0.0,0,365,365,7.0,31.0,1
1969218,1.0,365,0,365,1.0,1125.0,1
1998884,1.0,365,0,365,1.0,1125.0,1
2089150,1.0,365,0,365,69.0,1125.0,1
2150350,0.2602739726027397,95,270,365,1.4273972602739726,1125.0,27
2185157,0.7013698630136986,256,109,365,1.0,1125.0,43
2196549,0.1506849315068493,55,310,365,2.0,12.0,23
2209408,0.9972602739726028,364,1,365,1.0,730.0,3
2235260,0.9643835616438357,352,13,365,2.0,1125.0,12
2378558,0.8082191780821918,295,70,365,2.0,1125.0,2
2400936,1.0,365,0,365,1.0,1125.0,1
2613909,0.8821917808219178,322,43,365,4.0,40.0,4
2656543,0.2273972602739726,83,282,365,4.0,100.0,5
2824525,0.005479452054794521,2,363,365,3.0,50.0,3
2997451,0.736986301369863,269,96,365,3.0,1125.0,2
3084464,1.0,365,0,365,69.0,1125.0,1
3098021,0.0,0,365,365,4.0,1125.0,1
3306015,0.4602739726027397,168,197,365,4.287671232876712,150.0,18
3484629,0.9671232876712329,353,12,365,6.901369863013699,120.0,4
3515670,0.21643835616438356,79,286,365,18.0,300.0,3
3523749,0.0,0,365,365,1.0,1125.0,1
3588495,0.6246575342465753,228,137,365,2.052054794520548,1125.0,15
3665223,0.7150684931506849,261,104,365,1.9397260273972603,1125.0,50
3683808,0.44931506849315067,164,201,365,2.926027397260274,400.0,20
3710848,0.9753424657534246,356,9,365,1.0,2.0,6
3773983,0.4191780821917808,153,212,365,2.0,31.0,11
3815635,0.9232876712328767,337,28,365,2.0,65.0,12
3937856,0.6657534246575343,243,122,365,3.0,150.0,6
4049632,0.8767123287671232,320,45,365,5.0,1125.0,2
4054992,0.4876712328767123,178,187,365,2.0,1125.0,2
4070469,0.8383561643835616,306,59,365,1.0,1125.0,2
4230825,1.0,365,0,365,3.0,1125.0,1
4275850,0.6986301369863014,255,110,365,3.0,1125.0,9
4295770,0.14794520547945206,54,311,365,1.0,1125.0,3
4443387,0.8136986301369863,297,68,365,2.0,1125.0,2
4479762,0.9424657534246575,344,21,365,1.010958904109589,1125.0,22
4567126,0.13972602739726028,51,314,365,1.0,1125.0,15
4635584,1.0,365,0,365,1.0,1125.0,1
4884152,0.9068493150684932,331,34,365,5.0,1125.0,9
5158797,0.0,0,365,365,1.0,1125.0,1
5247804,0.39452054794520547,144,221,365,2.0,1125.0,15
5270940,0.0,0,365,365,2.0,1125.0,1
5354037,0.5013698630136987,183,182,365,2.043835616438356,1125.0,23
5544185,0.0684931506849315,25,340,365,7.0,1050.041095890411,2
5584153,0.8383561643835616,306,59,365,2.0,1125.0,12
5651363,0.4931506849315068,180,185,365,2.0,1125.0,2
5682924,0.5726027397260274,209,156,365,2.0,1125.0,6
5764014,0.2273972602739726,83,282,365,2.0,200.0,5
5865430,0.9534246575342465,348,17,365,2.0,1125.0,15
6010502,0.4684931506849315,171,194,365,3.717808219178082,730.0,7
6014196,0.1780821917808219,65,300,365,12.0,1125.0,4
6081027,0.821917808219178,300,65,365,14.0,365.0,2
6172921,0.0684931506849315,25,340,365,1.0,60.0,2
6191116,0.7342465753424657,268,97,365,7.0,365.0,2
6414452,0.36712328767123287,134,231,365,1.4301369863013698,7.0,20
6521148,0.30684931506849317,112,253,365,1.0,365.0,15
6550407,0.16712328767123288,61,304,365,2.0,1125.0,2
6581958,0.9863013698630136,360,5,365,3.0,3.0,2
6599124,0.9671232876712329,353,12,365,2.0,1125.0,10
6612375,0.8931506849315068,326,39,365,1.0904109589041096,1125.0,28
6656423,0.9315068493150684,340,25,365,2.0,360.0,12
6689776,0.9342465753424658,341,24,365,1.0,1125.0,6
6775913,0.7342465753424657,268,97,365,7.0,1125.0,2
6914820,0.8794520547945206,321,44,365,21.70958904109589,1125.0,10
7057821,0.0,0,365,365,3.0,5.0,1
7083657,0.9068493150684932,331,34,365,2.0,1125.0,12
7112415,0.0,0,365,365,1.0,1125.0,1
7393366,0.4712328767123288,172,193,365,1.0,1125.0,5
7395875,0.9917808219178083,362,3,365,1.0,7.0,3
7472592,0.0,0,365,365,5.0,1125.0,1
7544738,0.24383561643835616,89,276,365,5.0,31.0,3
7618217,1.0,365,0,365,1.0,1125.0,1
7745845,0.35342465753424657,129,236,365,1.9972602739726026,31.0,24
7822937,0.2273972602739726,83,282,365,1.2876712328767124,14.0,7
7830452,0.7945205479452054,290,75,365,1.1397260273972603,1125.0,52
7871515,0.0,0,365,365,2.0,1125.0,1
7923907,0.9671232876712329,353,12,365,1.0246575342465754,29.495890410958904,21
7985569,1.0,365,0,365,2.0,356.0,1
