Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,District,Ward,County Electoral Division
BS1 1AA,No,51.449515,-2.578372,359905,172440,ST599724,2/1/1990 12:00:00 AM,12/1/1998 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AB,No,51.449515,-2.578372,359905,172440,ST599724,2/1/1990 12:00:00 AM,12/1/1999 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AD,Yes,51.458455,-2.574166,360205,173432,ST602734,8/1/1992 12:00:00 AM,,17,,,Lawrence Hill,0.7,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AE,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AF,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AG,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AH,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AJ,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AL,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AN,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AP,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AQ,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1AR,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BA,No,51.451773,-2.594302,358800,172700,ST587726,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,17,,,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1BB,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BD,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BE,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BF,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BG,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BH,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BJ,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BL,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BN,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BP,No,51.449515,-2.578372,359905,172440,ST599724,8/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BT,Yes,51.453546,-2.595635,358709,172898,ST587728,6/1/2021 12:00:00 AM,,10,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1BU,Yes,51.453654,-2.593938,358827,172909,ST588729,9/1/2007 12:00:00 AM,,22,15,7,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1BX,No,51.449515,-2.578372,359905,172440,ST599724,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,15,,,Bristol Temple Meads,0.2,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1BZ,No,51.454470,-2.594337,358800,173000,ST587729,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DA,Yes,51.454791,-2.595004,358754,173036,ST587730,1/1/1980 12:00:00 AM,,23,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DB,Yes,51.455175,-2.595469,358722,173079,ST587730,2/1/1984 12:00:00 AM,,23,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DD,Yes,51.459756,-2.574946,360152,173577,ST601735,1/1/1980 12:00:00 AM,,13,,,Lawrence Hill,0.8,Bristol,"Bristol, City of",Lawrence Hill,
BS1 1DE,Yes,51.455275,-2.595168,358743,173090,ST587730,1/1/1980 12:00:00 AM,,23,18,8,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DF,No,51.454463,-2.595777,358700,173000,ST586729,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DH,No,51.454463,-2.595777,358700,173000,ST586729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DJ,No,51.454463,-2.595777,358700,173000,ST586729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DL,Yes,51.453644,-2.594140,358813,172908,ST588729,7/1/2009 12:00:00 AM,,22,12,8,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1DN,No,51.454463,-2.595777,358700,173000,ST586729,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DP,Yes,51.454902,-2.594329,358801,173048,ST588730,1/1/1980 12:00:00 AM,,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DQ,Yes,51.452417,-2.593217,358876,172771,ST588727,3/1/2008 12:00:00 AM,,19,121,29,Bristol Temple Meads,0.9,Bristol,"Bristol, City of",Central,
BS1 1DR,Yes,51.455437,-2.593458,358862,173107,ST588731,1/1/1980 12:00:00 AM,,25,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DS,No,51.454470,-2.594337,358800,173000,ST587729,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DT,No,51.454470,-2.594337,358800,173000,ST587729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DU,No,51.454470,-2.594337,358800,173000,ST587729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DW,Yes,51.454929,-2.594387,358797,173051,ST587730,10/1/1985 12:00:00 AM,,24,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DX,No,51.455137,-2.593986,358825,173074,ST588730,1/1/2005 12:00:00 AM,1/1/2005 12:00:00 AM,25,,,Bristol Temple Meads,1.1,Bristol,"Bristol, City of",Central,
BS1 1DY,No,51.455417,-2.595573,358715,173106,ST587731,5/1/2005 12:00:00 AM,3/1/2009 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1DZ,Yes,51.455426,-2.595559,358716,173107,ST587731,3/1/2007 12:00:00 AM,,23,20,13,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EA,Yes,51.454600,-2.595433,358724,173015,ST587730,1/1/1980 12:00:00 AM,,22,1,1,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EB,Yes,51.455156,-2.595728,358704,173077,ST587730,1/1/1980 12:00:00 AM,,22,1,1,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1ED,No,51.452672,-2.594314,358800,172800,ST587727,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,"Bristol, City of",Central,
BS1 1EE,Yes,51.454778,-2.595723,358704,173035,ST587730,1/1/1980 12:00:00 AM,,22,31,8,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
BS1 1EF,No,51.454456,-2.597216,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,"Bristol, City of",Central,
